ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|dd0fd4c5ca51c99ee0d7686d51108bf2|2022-03-26|03:18:52|1648273732|gas_transport|12.04|1|Paul, Higgins and Garcia|40.37154441975092|-80.50797527680604
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|ac47b775791da27e6043b86fd70a236c|2022-03-26|01:04:43|1648265683|grocery_pos|10.36|1|Todd-Rodriguez|25.835321185709656|-80.07165179476239
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|0ebb615f4dcbad9831f667eb19dfe5e7|2022-03-26|02:04:41|1648269281|misc_net|389.57|1|Adams Group|40.44384644687652|-80.52125122742777
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|d1dec85137068612bf1b4349a2414ada|2022-03-26|01:07:48|1648265868|grocery_pos|326.01|1|Jackson, Good and Taylor|34.95326715209241|-77.45424248813524
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|70704b7a008c770d008af9cc25d8e57b|2022-03-26|00:59:45|1648265385|misc_pos|802.39|1|Welch, Anderson and Riley|39.037086719742945|-92.44190684462367
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|3c28d770215cc2b3639cc5288a578930|2022-03-26|02:19:53|1648270193|misc_net|725.71|1|Adams Group|40.44384644687652|-80.52125122742777
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|4a7436e82141b59eb859f669fc7bd94f|2022-03-26|03:19:36|1648273776|gas_transport|1004.85|1|Paul, Higgins and Garcia|40.37154441975092|-80.50797527680604
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|11d8e667d0763f3347234f9a3ca4e116|2022-03-26|03:08:50|1648273130|shopping_pos|921.12|1|Thompson and Sons|33.09584323945633|-96.86092336371927
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|89b04a2e5c9611ae98e36b7ad06a1b79|2022-03-26|03:27:36|1648274256|shopping_net|959.85|1|Stevens, Hoffman and French|40.012202167070946|-82.39661543410864
096-65-8934|4581920487704|Jessica|Walters|F|32998 Gomez Knolls|Colliers|WV|26035|40.37431890660933|-80.50721470513248|2491|Waste management officer|1975-03-20|64178648472|adults_2550_female_rural.json|f5f018feee91de8a58ad7e63f2e42b8d|2022-03-27|22:58:11|1648430891|shopping_pos|1046.81|1|Lewis, Gregory and Johnson|35.9120804672859|-77.33668835953516
