ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Reston|VA|20190|38.96358815180743|-77.34243629083574|59822|Accounting technician|1940-10-03|888022315787|adults_50up_female_urban.json
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|Westminster|CA|92683|33.52135451076069|-118.02462155143381|89747|Professor Emeritus|1982-06-07|917558277935|adults_2550_female_urban.json
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Westport|CT|06880|41.14490969553481|-73.34635277769709|26647|International aid/development worker|1990-05-30|718172762479|adults_2550_female_urban.json
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Escondido|CA|92026|33.1513325881937|-117.08295827972005|171802|Seismic interpreter|1970-12-26|947268892251|adults_50up_female_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Stamford|CT|06906|41.14351601153826|-73.101243542397|122486|Medical laboratory scientific officer|1984-05-22|888335239225|adults_2550_male_urban.json
246-08-3947|3517182278248964|Tracey|Hickman|F|465 Lam Mission|Lake Orion|MI|48359|42.853205578679706|-83.09271101147479|34836|Community arts worker|1969-06-18|245877882397|adults_50up_female_urban.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Rochester|NY|14624|43.224800391426214|-77.59775144964462|478127|Plant breeder/geneticist|1952-03-06|465378164447|adults_50up_male_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Conroe|TX|77385|30.161501017058626|-95.47071529858839|130233|Quarry manager|2001-12-27|950105810049|young_adults_male_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Hampton|VA|23665|37.08779109371357|-76.22509060043782|136895|Retail buyer|1969-08-23|940251608167|adults_50up_male_urban.json
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Marysville|OH|43040|40.293234039791585|-83.51647246921647|31790|Acupuncturist|1960-01-26|684868121383|adults_50up_female_urban.json
103-10-8809|4251354278496|Victoria|Roman|F|841 Joseph Coves|Manitowoc|WI|54220|43.86048600245234|-87.55477986513553|40220|Surgeon|1977-02-26|297020387114|adults_2550_female_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Miami|FL|33177|25.56723514912399|-80.37753946119463|1737737|Television floor manager|1978-08-02|161286867170|adults_2550_female_urban.json
131-06-5051|345331586923222|Sierra|Johnson|F|3421 Brennan Walks Suite 337|Mexico|MO|65265|39.14247448768006|-91.79756153493787|15409|Maintenance engineer|2006-08-16|903253916954|young_adults_female_urban.json
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Lemon Grove|CA|91945|32.72192153429207|-117.04256419676982|25460|Commercial art gallery manager|1961-09-29|989496879843|adults_50up_male_urban.json
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|San Bernardino|CA|92410|34.06022097008565|-117.27711987877821|236660|Optician, dispensing|1982-08-14|917181406434|adults_2550_female_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Bloomfield|IA|52537|40.93408462108512|-92.43277739959828|7098|Engineer, broadcasting (operations)|1963-01-06|767589450881|adults_50up_male_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Venice|CA|90291|33.985580801806655|-118.46252531640782|28341|Health and safety inspector|1955-01-23|857987636625|adults_50up_male_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Norristown|PA|19403|40.38497349166771|-74.98627670716871|86013|Hydrogeologist|1993-09-26|428437913341|adults_2550_female_urban.json
552-96-8948|3573467065627293|Kimberly|Meadows|F|62720 Gray Forest|Durango|CO|81301|37.287353227582315|-107.86166962037284|36051|Programme researcher, broadcasting/film/video|1932-04-04|370770979513|adults_50up_female_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Tucson|AZ|85756|32.08513729176039|-110.89532592934644|865276|Insurance risk surveyor|1931-11-24|636119440405|adults_50up_male_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Santa Clarita|CA|91350|34.11189946631607|-118.56508275694883|53134|Solicitor|1988-11-15|531608037091|adults_2550_female_urban.json
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Staten Island|NY|10314|40.655827351893734|-74.10629873163828|468730|Recycling officer|1980-10-26|869508288813|adults_2550_female_urban.json
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Sandy|TX|78665|30.56526936746674|-97.5562014685821|35985|Therapist, speech and language|1989-08-02|915259790398|adults_2550_female_urban.json
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Vincentown|NJ|08088|40.10206513562233|-74.2464253974892|24664|Astronomer|1972-08-09|163860419795|adults_50up_male_urban.json
312-11-4067|2706999386774968|Elizabeth|Oliver|F|34123 Andrea Estate|Mount Carmel|IL|62863|38.422334871928406|-87.80163238166753|10183|Accountant, chartered|1964-02-24|495675808653|adults_50up_female_urban.json
482-38-0535|4471349361831|Matthew|Kerr|M|02499 Gonzales Mountain|Scottsdale|AZ|85251|33.50524042369245|-111.91840012429147|268597|Industrial buyer|1992-03-15|445386964769|adults_2550_male_urban.json
513-70-8091|30190659401395|Laurie|Smith|F|027 Moon Falls Suite 717|Arlington|TX|76016|32.88706854995276|-97.01522690176084|370281|Magazine features editor|1967-04-06|366826061886|adults_50up_female_urban.json
687-14-2635|377468071545168|Sharon|Bryan|F|876 Jacob Lake|Phoenix|AZ|85020|33.5386260440192|-112.01890977464556|1312922|Writer|1980-12-03|548709745211|adults_2550_female_urban.json
453-98-0846|4824771093241|Juan|Tran|M|17127 Hicks Groves|Galveston|TX|77550|29.296034538451867|-94.7963317927981|49659|Pathologist|1998-04-12|531866089440|young_adults_male_urban.json
250-59-9032|4398214658404495|Lauren|Keller|F|8755 Gibson Islands|Winchester|KY|40391|38.01410910928794|-84.5329443113144|35262|Energy engineer|1966-01-25|768716573635|adults_50up_female_urban.json
586-50-3827|6011576627028957|Sergio|Sawyer|M|87026 Charles Tunnel Suite 596|Lake Hiawatha|NJ|07034|40.86361429533063|-74.3202223801027|9360|Catering manager|1968-02-15|364435556959|adults_50up_male_urban.json
390-41-7995|213191343161170|Carol|Evans|F|50455 Thomas Pines|Rowlett|TX|75088|33.104048780239694|-96.78373561460398|54963|Paramedic|1967-02-26|749754952027|adults_50up_female_urban.json
175-23-1294|3593792374740743|Megan|Moore|F|9464 Bruce Flat Suite 713|Humboldt|IA|50548|42.613295569567455|-94.25980041001144|5869|Museum/gallery curator|1952-02-15|393298413208|adults_50up_female_urban.json
303-90-4838|676364090974|Ross|Leach|M|533 Byrd Stravenue|Port Saint Lucie|FL|34953|27.261515534060813|-80.37805464890982|181438|Copywriter, advertising|1989-07-23|105777520189|adults_2550_male_urban.json
662-06-5062|30095214562328|Richard|Walter|M|842 Sloan Orchard Suite 517|Washington|DC|20012|38.81464228711127|-76.93480387673105|601723|Call centre manager|1999-05-07|829533234908|young_adults_male_urban.json
881-87-6512|180016048175499|James|Little|M|37098 Herman Forges Apt. 746|Colorado Springs|CO|80902|39.11546924830621|-104.76456030811684|525713|Commercial horticulturist|2002-09-04|47844977968|young_adults_male_urban.json
312-64-1903|2248267586926175|Luis|Crosby|M|53773 Garcia Spur Suite 850|Lindstrom|MN|55045|45.34418116629153|-92.80118683650223|7577|Occupational therapist|1976-04-07|207343331995|adults_2550_male_urban.json
869-59-1502|4900532931839331|Erin|Hernandez|F|2284 Daniel Way|Russellville|AR|72802|35.29971072880066|-93.07656314412385|39658|Agricultural engineer|1956-02-27|13450992449|adults_50up_female_urban.json
809-31-9648|342402681177585|Kevin|Hayes|M|084 Schneider Burgs|Perrysburg|OH|43551|41.553799034034476|-83.56712302458637|37002|Biochemist, clinical|1955-03-10|528274907582|adults_50up_male_urban.json
437-88-1769|38115921249985|Michelle|James|F|8961 Melissa Run Apt. 673|Randallstown|MD|21133|39.126320504021464|-76.42305664344734|29998|Patent attorney|1938-08-31|907693799652|adults_50up_female_urban.json
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Le Roy|NY|14482|43.221982899783555|-77.88878059298865|8275|Management consultant|1959-06-06|631805153549|adults_50up_female_urban.json
218-20-7901|4585149368991|Megan|Hawkins|F|24455 Howard Divide Suite 120|Castle Rock|CO|80108|39.49036234029737|-104.84758428782669|67419|Chemist, analytical|1936-04-06|583025110578|adults_50up_female_urban.json
386-54-7433|345459910229014|Dillon|Stanley|M|764 Kari Crescent Suite 614|Cordova|TN|38016|35.25171270372901|-90.16201794089457|78138|Therapist, horticultural|1953-04-27|577615689420|adults_50up_male_urban.json
316-06-3613|6011034324451072|Nicole|Thompson|F|388 Jones Wall Apt. 607|Madison|AL|35758|34.71025658651579|-86.74083863061546|63731|Careers adviser|1963-09-12|347300118003|adults_50up_female_urban.json
440-74-6627|3541605297516136|Jeffrey|Morales|M|4535 Charles Roads|Los Angeles|CA|90028|34.09032149681018|-118.23648830103589|2383912|Clothing/textile technologist|1987-08-04|560624678846|adults_2550_male_urban.json
